The Haunting of Hill House	2018– 
The Walking Dead	2010– 
Chilling Adventures of Sabrina	2018– 
American Horror Story	2011– 
Homecoming	2018– 
Halloween	2018
Bodyguard	2018– 
The Girl in the Spider's Web: A New Dragon Tattoo Story	2018
Suspiria	2018
Daredevil	2015– 
Mayans M.C.	2018– 
Widows	2018
Supernatural	2005– 
Hunter Killer	2018
The Equalizer 2	2018
The Meg	2018
Papillon	2017
Mile 22	2018
The Nun	2018
Mission: Impossible - Fallout	2018
9-1-1	2018– 
Criminal Minds	2005– 
Stranger Things	2016– 
Black Mirror	2011– 
True Detective	2014– 
Law & Order: Special Victims Unit	1999– 
How to Get Away with Murder	2014– 
Robin Hood	2018
Ozark	2017– 
Lethal Weapon	2016– 
The Little Drummer Girl	2018– 
Breaking Bad	2008–2013
NCIS	2003– 
Chicago P.D.	2014– 
Money Heist	2017– 
Mr. Robot	2015– 
The Purge	2018– 
The Man in the High Castle	2015– 
Bad Times at the El Royale	2018
Gotham	2014– 
It: Chapter Two	2019
Mandy	2018
The Sinner	2017– 
Blindspot	2015– 
The Blacklist	2013– 
Ocean's Eight	2018
Designated Survivor	2016–2019
The Last Ship	2014–2018
Elite	2018– 
Joker	2019
Hereditary	2018
Sons of Anarchy	2008–2014
Tom Clancy's Jack Ryan	2018– 
The Vampire Diaries	2009–2017
NCIS: Los Angeles	2009– 
The Girl with the Dragon Tattoo	2011
It	2017
Tell Me a Story	2018– 
Fargo	2014– 
Apostle	2018
Halloween	1978
A Simple Favor	2018
Narcos	2015–2017
Killing Eve	2018– 
Station 19	2018– 
Captive State	2019
Fear the Walking Dead	2015– 
Sicario: Day of the Soldado	2018
The Predator	2018
FBI	2018– 
Skyscraper	2018
The Night Comes for Us	2018
Sherlock	2010– 
StartUp	2016– 
Luther	2010–2019
The Punisher	2017– 
A Quiet Place	2018
You	2018– 
Prison Break	2005–2017
The Darkest Minds	2018
Homeland	2011– 
Agents of S.H.I.E.L.D.	2013– 
Mortal Engines	2018
S.W.A.T.	2017– 
The First Purge	2018
V for Vendetta	2005
Informer	2018– 
The Irishman	2019
The Dark Knight	2008
The Shape of Water	2017
Den of Thieves	2018
Mindhunter	2017– 
Dexter	2006–2013
The House with a Clock in Its Walls	2018
The Wire	2002–2008
Searching	2018
Hold the Dark	2018
Blade Runner 2049	2017
Annihilation	2018
The House That Jack Built	2018
The Post	2017
The Equalizer	2014
22 July	2018
Line of Duty	2012– 
Mad Max: Fury Road	2015
Red Sparrow	2018
Hotel Artemis	2018
Altered Carbon	2018– 
Peppermint	2018
Lost	2004–2010
Monster Party	2018
Replicas	2018
Gerald's Game	2017
Fifty Shades Freed	2018
Gun City	2018
Slender Man	2018
Teen Wolf	2011–2017
John Wick: Chapter 3	2019
Get Out	2017
Patriot	2015– 
Upgrade	2018
Gone Girl	2014
They Live	1988
Slaughterhouse Rulez	2018
The Guilty	2018
Jurassic Park	1993
Inception	2010
Sharp Objects	2018– 
Glass	2019
Rambo 5	2019
Castle Rock	2018– 
The Skin I Live In	2011
The Americans	2013–2018
Dark	2017– 
Queen of the South	2016– 
The Expanse	2015– 
Law & Order	1990–2010
Taboo	2017– 
Pretty Little Liars	2010–2017
True Blood	2008–2014
Channel Zero	2016– 
Jessica Jones	2015– 
Split	2016
The Mule	2018
The X-Files	1993– 
The Hateful Eight	2015
14 Cameras	2018
Children of Men	2006
Climax	2018
Billionaire Boys Club	2018
