Into the Wild,Indie,Wilderness,Survival,Young man,Soundtrack,Loner,Nature,Idealism,True Story,Jack London,Walden,Road Trip,Journey,Far from home,Zeal,Reflective,Bittersweet,Sorrow,Landscape,Sense of possibility,Adventure,Premature death,One man show,Exuberance,Jesus Vibes,Forest,Actor directing,Communion with nature,Man vs. nature,Misguided naturalism,Living off the grid,Bummer ending,Teary,,,,,,,,,,,,,,,,,,,
Once Upon a Time in America,Gangsters,Mob,Jewish,Flashbacks,Period piece,Prohibition,Twenties,New York,Twist,Childhood friends,Rags to riches,Epic,Foreign director making a movie about america,Lifestory,Sweeping,Brooklyn,Italian director,Important Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundhog Day,Romance,Crotchety middle-aged man,Small town,News,Winter,Courtship,Screwball,Repetition,Magic,Magical premise,Pennsylvania,Witty,Affecting,Comedy,Chuckles,Time bending,Redemption,Repentance,Rehabilitation,Asshole to nice guy,Frustrating,Nihilistic,Broadcast news,Weatherman,Holiday,Second chances,Messes with time,Narrative loop,,,,,,,,,,,,,,,,,,,,,,,,
Friday Night Lights,Teen,High School,Sports,Football,Teenage Boys,Texas,Coach,Small town,Competition,Gritty,Realistic,Sandy,Bleak,Low key,Lived in,Desaturated,Uplifting,Troubling,Tension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
She's the Man,Teen,High School,Sports,Soccer,Teenage Girl,Romcom,Shakespeare,Cross dressing,Boarding School,Competition,Female protagonist,Love triangle,Laugh at loud,Debutante,Rebellion,Fish out of water,Silly/goofy,Happy,Shenanigans,Twins,Siblings,Children of divorce,Mistaken identity,Double life,Elaborate revenge plot,Elaborate scheme,Female writer,Female athlete,Classic literature adaptation,Maintaining a lie,Charade,Tangled interpersonal web,Training,,,,,,,,,,,,,,,,,,,
Atonement,Period Drama,Romance,Dark,World War II,England,British,Young love,Indiscretion,Regret,Upper class,Real estate envy,Class tension,Sexual tension,Scandal,Sexual violence,Pedophilia,Falsely accused,Fancy cinematography,Pretty,Misunderstanding,Lie,Surprise ending,Child sees something they shouldn't,Bad sister,Jealousy,Betrayal,Bummer ending,Tragic romance,Female protagonist,English countryside,Estate,LIfe changing moment,,,,,,,,,,,,,,,,,,,,
Miracle,Sports,Inspirational,Coach,Olympics,Cold War,Winter,America,Young men,True Story,Hockey,Amateur,College kids,Team,Disney,1980's,Competition,Underdogs,Training,Unconventional coaching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How to Lose a Guy in Ten Days,Romcom,Bet,Magazine,New York,Staten Island,Early 2000's,Fake relationship,Grand gesture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forgetting Sarah Marshall,Romcom,Hawaii,Dating an actor,Hotel,Puppets,Other girl,Breakup,Travel,Nebbishy lead,Funny people,Cringe comedy,Hollywood,Celebrity,Apatowian,Geek fantasy,Getting Over the Ex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bring it On,Sports,High School,Cheerleaders,Teenage girls,Competition,Bitchy,Blonde,Class tension,Romance,Female protagonists,Racial tension,Girl power,Bubblegum feminism,Female athlete,IP theft,Credit where credit is due,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Big Short,Wall Street,Money,True Story,Recent past,Mostly male cast,Stock Market,Creative editing,Celebrities,Suits,Social issues,Righteous indignation,Wealth,Underdogs,Cynical,Technical,Disturbing,Ethical murkiness,Classical antiheroes,Ensemble cast,Allstar cast,Fast paced,True events,Nebbishy heroes,Banking,Finance,Didactic,Finance bros,Message film,Angry,,,,,,,,,,,,,,,,,,,,,,,
Rounders,Buddy movie,Male friendship,Poker,Law Student,New York,Debt,Get out of trouble,Russian Mobster,Law School,Seedy Underbelly,Allstar cast,Mostly male cast,Boy movie,Sports,Menace,Disruptive force returns,Naggy girlfriend who doesn't get it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Aquatic with Steve Zissou,Ocean,Fish,Father/Son,Pirates,Colorful,Bittersweet,Whimsical,Idiosyncrasy,Fantastical,Delightful,Antics,Tristesse,Ensemble cast,Travel,Soundtrack,Meandering,Visually unique,Visually striking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frances Ha,Mumblecore,Female friendship,Early 20's,Ennui,New York,Black and White,Post-College,Dancer,Comedy,Growing up,End of a friendship,Charming,Arrested development,Black and White,Female protagonist,Difficult woman,Delightful,Indie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zodiac,Dark,Serial Killer,Murder,Procedural,Newspaper,Precise,Open ended,Obsession,1970's,California,Investigation,Murder mystery,Moody,Mostly male cast,Detailed,True crime,Based on true events,Methodical,Disturbing,Graphic,Chef d'Oeuvre,Important Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eyes Wide Shut,Creepy,Sex,Couple,Sexual fantasy,Erotic,Thriller,Nightmarish,Marital issues,Far from home,Unsettling,Secret underworld,Mystery,Surreal,Eerie,Adultery,Jealousy,Odyssey,Important Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Girl,Children,Tearjerker,Childhood,Small town,Female protagonist,Grief,Funeral Home,Innocence,Male/female friendship,1980's,Death of child,Touching,Heart,Tomboy,Quality child acting,Hypochondriac child,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Just My Luck,Romcom,Magic,Band/Boy Band,Music,Bowling,Rich girl/poor boy,New York,Early 2000's,Girlfriends,Manhattan,Young Professionals,Professional success,Lightweight,Female writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What a Girl Wants,Romcom,London,Royal,British,Evil Stepmother/stepsister,Revelation about father,Teen,Early 2000's,Class tension,Aristocrats,Travel,Unladylike behavior,Female writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sing Street,Ireland,Kids,Boys,Punk,Musical,Band,Young love,Self-discovery,Uplifting,School,1980's,Nostalgia,Dublin,Coming-of-age,Charming,Sensitive,Outcasts,Trouble at home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somewhere,Dreamy,Father/Daughter,Washed up actor,Hotel,Slow,Quiet,California,Exquisite,Melancholy,Subtle,Sad,Affecting,Loneliness,Dazed,Hollywood,Watchful,Ennui,Female director,Female writer,Contemporary American auteur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Painted Veil,Asia,China,Period Drama,Love story,Colonial,Doctor,Unhappy Wife,Epidemic,Marital issues,1920's,Adultery,Moral awakening,Restraint,Lush,Rural,Travelogue,Far from home,Based on a book from the 20's,Landscape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Promised Land,Environmental issues,Fracking,Rural,Twist,Pennsylvania,Earnest,Social issues,Conscience,Moral,Sentimental,Capraesque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spotlight,Catholic,Boston,Exposé,Newspaper,Investigation,Righteous Indignation,Recent history,Gripping,Procedural,Unglamorous,Professionalism,Journalism,Scandal,Sexual abuse,Pedophilia,Catholic church,Based on a true story,Old school,Faith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Stevens,Drama club,Teacher/Student,High School,Theater,Drama trip,Mental illness,Death of a parent,Grief,Weekend away,Arrested development,Personal growth,Female Director,Indie,Female protagonist,Warmhearted,Generous,Sad,Small/modest,Indie,Hotel,English teacher,Quiet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Kissing Booth,High School,Teen girl protagonist,Hot older brother,Male/female friendship,Secret Relationship,Sexual coming of age,Rich kids,Bad boy,Boy comes between friends,Based on YA novel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rebound,Divorcée,Younger man/older woman,Romcom,Single mother,Frothy,Going back to work,Nanny,Employer/employee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruel Intentions,Teenagers,Classic literature adaptation,Erotic,Step Siblings,Mild incest,Headgames,Manipulation,Spoiled innocence,Rich kids,Manhattan,Seduction,Soapy,Cynical,Bet,Behaving badly,Stylish,Devious,Witty,Absent parents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Prince of Egypt,Animated,Musical,Biblical,Exodus,Inspirational,Uplifting,Religious,Egypt,Hero's journey,Jewish,Sand,Desert,Slavery,Royalty,Epic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moonrise Kingdom,Whimsical Melancholy,Boy Scouts,Sad adults,Young love,Runaway children,Big storm,New England,Picture Book,Colorful,Pastels,Troubled children,Nature,Forest,Droll,Deadpan,Soundtrack,Quality child acting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
